Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Précédent code ;Evolution 2021 vs. 2020;Nom du site de baignade;Date déclaration UE;Type d'eau;Longitude (ETRS 89);Latitude (ETRS 89);;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207011D007355;;pas de changement;LE MAS AU PLAN D'EAU DU PAL;01/01/1991;rivière;4.35962000000;44.72040000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207012D007560;;pas de changement;L'EYSSE A LA PLAGE D'ARCENS;01/01/2001;rivière;4.32513000000;44.90012000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207023D007085;;pas de changement;L'ARDECHE AU PONT DE BALAZUC;01/01/1991;rivière;4.37096000000;44.51152000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207031D007275;;pas de changement;LE CHASSEZAC A LA PLAGE DE MAZET;01/07/2010;rivière;4.20013000000;44.39703000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207031D007280;;pas de changement;LE CHASSEZAC A LA PLAGE DE CHAULET;01/07/2010;rivière;4.21663000000;44.40546000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207050D007260;;pas de changement;LE CHASSEZAC AU PONT DU NASSIER;01/07/2015;rivière;4.10969000000;44.42326000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207058D007456;;pas de changement;LA LIGNE AU CAMPING LES RANCHISSES;01/01/2006;rivière;4.28503000000;44.56139000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207061D007092;;pas de changement;L'ARDECHE A LA PLAGE PRIVEE ISLA COOL DOUCE;01/01/2003;rivière;4.35006000000;44.47503000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207064D007432;;pas de changement;L'EYRIEUX A LA PLAGE DU CHAMBAUD;01/07/2012;rivière;4.42028000000;44.91655000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207071D007910;;pas de changement;LE LAC DE COUCOURON;01/01/1991;lac;3.96051000000;44.80361000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207079D007605;;pas de changement;LE DOUX A LA PLAGE DES SALINS;01/01/1991;rivière;4.51264000000;44.99864000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207080D007405;;pas de changement;LE LAC DE DEVESSET;01/01/1991;lac;4.39396000000;45.05159000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207082D007505;;pas de changement;LA DORNE A LA PLAGE DE LA GANDOLE;01/01/1991;rivière;4.34565000000;44.85003000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207083D007450;;pas de changement;L'EYRIEUX AU LIEU DIT CELAS;01/01/1999;rivière;4.66577000000;44.82152000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207096D007540;;pas de changement;LA GLUEYRE A LA PLAGE DE FONTUGNE;01/07/2010;rivière;4.56554000000;44.82235000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207107D007030;;pas de changement;LE LIGNON AU LIEU DIT LA TURBINE;01/07/2010;rivière;4.25508000000;44.63988000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207110D007220;;pas de changement;LA BEAUME A LA PLAGE DU PETIT ROCHER;01/01/1991;rivière;4.23732000000;44.48635000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207114D007602;;pas de changement;LE DOUX A LA PLAGE DE LABATIE;01/01/1994;rivière;4.49596000000;45.02702000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207115D007235;;pas de changement;LA BEAUME A LA PLAGE DU VILLAGE DE LABEAUME;01/01/1991;rivière;4.30778000000;44.44840000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207115D007236;;pas de changement;LA BEAUME A LA PLAGE DE PEYROCHE;01/07/2010;rivière;4.32901000000;44.45002000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207119D007905;;pas de changement;LE LAC D'ISSARLES;01/01/1991;lac;4.06456000000;44.81645000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207123D007501;;pas de changement;LA SALIOUSE A LA PLAGE LA BACHASSE;01/07/2010;rivière;4.32980000000;44.94741000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207126D007330;;pas de changement;L'IBIE AU TROU DE LA LUNE;01/07/2019;rivière;4.44289000000;44.45738000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207127D007028;;pas de changement;L'ARDECHE A LA PLAGE DE LA CLAPE;01/01/2003;rivière;4.32599000000;44.65150000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207129D007610;;pas de changement;LE DOUX AU LIEU DIT LE RETOURTOUR;01/01/1991;rivière;4.56271000000;44.98946000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207146D007755;;pas de changement;LE MEZAYON AU LIEU DIT LA NEUVE;01/07/2010;rivière;4.58358000000;44.74359000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207167D007445;;pas de changement;L'EYRIEUX A LA PLAGE DE LA THEOULE;01/01/1991;rivière;4.61683000000;44.80404000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207189D007001;;baignade nouvellement identifiée;L’ALUNE A LA PLAGE PRIVEE LE MOULIN D’ALUNE;01/07/2021;rivière;4.21700000000;44.49400000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207192D007601;;pas de changement;LE DOUX A LA PLAGE DE ROCHEPAULE;01/01/2000;rivière;4.48240000000;45.08354000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207199D007004;;pas de changement;LA BEAUME A LA PLAGE DE LA TOURASSE;01/07/2010;rivière;4.25343000000;44.48023000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207201D007100;;pas de changement;L'ARDECHE A LA PLAGE DU STADE;01/07/2010;rivière;4.33545000000;44.45168000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207201D007123;;pas de changement;L'ARDECHE AU LIEU-DIT MOULIN DU GRAZEL;01/07/2019;rivière;4.34815000000;44.47698000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207237D007455;;pas de changement;L'EYRIEUX AU LIEU DIT LE PIGEONNIER;01/01/1991;rivière;4.68209000000;44.82855000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207247D007791;;pas de changement;LA CLADUEGNE AU PLAN D'EAU DU CAMPING DES ARCHES;01/07/2012;lac;4.52750000000;44.58883000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207259D007180;;pas de changement;L'ARDECHE A LA PLAGE DU PONT CASSE;01/01/1991;rivière;4.61748000000;44.27858000000;;;;;;;;;
