Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Date de prélèvement;"Résultat ""entérocoques intestinaux""";"Résultat ""Escherichia coli""";Statut du prélèvement;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101184D001110;24/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101204D001631;13/06/2022;15;30;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101204D001631;05/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101204D001631;18/07/2022;15;46;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101204D001631;01/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101204D001631;23/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101229D001650;24/05/2022;30;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101229D001650;14/06/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101229D001650;04/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101229D001650;18/07/2022;15;161;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101229D001650;01/08/2022;15;1202;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101229D001650;23/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101239D001320;14/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101239D001320;05/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101239D001320;19/07/2022;15;1007;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101239D001320;02/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101239D001320;24/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001660;13/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001660;05/07/2022;30;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001660;18/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001660;01/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001660;23/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001661;13/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001661;05/07/2022;15;30;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001661;18/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001661;01/08/2022;15;30;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001661;23/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101302D001670;30/05/2022;61;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101302D001670;14/06/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101302D001670;05/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101302D001670;19/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101302D001670;02/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101302D001670;24/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101304D001130;13/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101304D001130;04/07/2022;15;489;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101304D001130;19/07/2022;30;30;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101304D001130;02/08/2022;15;30;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101304D001130;24/08/2022;15;45;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101305D001210;14/06/2022;15;61;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101305D001210;04/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101305D001210;18/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101305D001210;01/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101305D001210;23/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101314D001140;13/06/2022;15;30;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101314D001140;04/07/2022;15;61;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101314D001140;19/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101314D001140;02/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101314D001140;24/08/2022;15;30;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101378D001180;13/06/2022;15;46;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101378D001180;04/07/2022;15;30;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101378D001180;19/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101378D001180;02/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101378D001180;24/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101403D001328;14/06/2022;15;77;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101403D001328;05/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101403D001328;19/07/2022;15;412;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101403D001328;02/08/2022;61;30;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101403D001328;24/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101407D001685;14/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101407D001685;05/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101407D001685;19/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101407D001685;02/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101407D001685;24/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101426D001690;14/06/2022;15;197;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101426D001690;04/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101426D001690;18/07/2022;15;61;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101426D001690;01/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101426D001690;23/08/2022;61;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101452D001700;14/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101452D001700;05/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101452D001700;19/07/2022;30;1883;Prélèvement réalisé pendant une pollution à court terme;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101452D001700;22/07/2022;15;15;Prélèvement de fin de pollution à court terme;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101452D001700;02/08/2022;30;144;;;;
2022;Auvergne-Rhône-Alpes;001;FRK2101452D001700;30/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103190D003036;27/06/2022;3423;4575;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103190D003036;12/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103190D003036;27/07/2022;212;322;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103190D003036;09/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103190D003036;22/08/2022;30;46;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103207D003042;13/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103207D003042;13/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103207D003042;25/07/2022;126;127;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103207D003042;11/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103207D003042;24/08/2022;46;94;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103221D003050;14/06/2022;30;15;Prélèvement de pré-saison;;;
