Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Type d'événement;Date de début;Date de fin;Mesures de gestion
2021;Auvergne-Rhône-Alpes;001;FRK2101010D001530;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101053D001570;Saison balnéaire;13/05/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101058D001580;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101087D001600;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001150;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001605;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101123D001607;Saison balnéaire;13/05/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101133D001311;Saison balnéaire;26/06/2021;12/09/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101143D001620;Saison balnéaire;01/06/2021;15/09/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101184D001110;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101204D001631;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101229D001650;Saison balnéaire;12/06/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101239D001320;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001660;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001661;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101302D001670;Saison balnéaire;01/07/2021;30/09/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101304D001130;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101305D001210;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101314D001140;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101378D001180;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101403D001328;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101407D001685;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101426D001690;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;001;FRK2101452D001700;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;003;FRK1103207D003042;Interdiction sanitaire;22/06/2021;31/08/2021;Cyanobactéries en nombre trop élevé.
2021;Auvergne-Rhône-Alpes;003;FRK1103207D003042;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;003;FRK1103221D003050;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Changement de qualité d'eau;01/01/2021;28/02/2021;"Amélioration collecte des eaux usées. Alertes en cas d'orages, de fortes pluies ou de dysfonctionnement des stations d'épuration situées en amont de la baignade. Analyse quotidienne des eaux par """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Colilert""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""."
2021;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Interdiction non sanitaire;30/06/2021;09/08/2021;Vidange du plan d'eau de fichier suite à rupture clapet n°6 du barrage
2021;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;003;FRK1103312D003090;Interdiction sanitaire;06/08/2021;11/08/2021;Présence de cyanobactéries toxinogènes (103043 cellules / ml)
2021;Auvergne-Rhône-Alpes;003;FRK1103312D003090;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207011D007355;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207012D007560;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207023D007085;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007275;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007280;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207050D007260;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207058D007456;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207061D007092;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207064D007432;Interdiction sanitaire;07/07/2021;10/07/2021;Fermeture préventive de la baignade afin de préserver la santé des baigneurs.
2021;Auvergne-Rhône-Alpes;007;FRK2207064D007432;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207071D007910;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207079D007605;Interdiction non sanitaire;07/07/2021;12/07/2021;Site de baignade endommagé par une crue du Doux. La baignade est interdite dans l'attente des travaux de réhabilitation de la baignade.
2021;Auvergne-Rhône-Alpes;007;FRK2207079D007605;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207080D007405;Interdiction sanitaire;05/08/2021;09/08/2021;La baignade doit être interdite en raison de la présence en nombre important de  cyanobactéries pouvant émettre des toxines dans l’eau de la baignade. Les activités nautiques restent possible mais avec des précautions (voir infos sur site).
2021;Auvergne-Rhône-Alpes;007;FRK2207080D007405;Interdiction sanitaire;18/08/2021;16/09/2021;La baignade doit être interdite en raison de la présence en nombre important de  cyanobactéries pouvant émettre des toxines dans l’eau de la baignade. Les activités nautiques restent possible mais avec des précautions (voir infos sur site).
2021;Auvergne-Rhône-Alpes;007;FRK2207080D007405;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207082D007505;Interdiction non sanitaire;06/07/2021;01/08/2021;Absence du surveillant de baignade - fermeture de la baignade dans l'attente d'un recrutement.
2021;Auvergne-Rhône-Alpes;007;FRK2207082D007505;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207096D007540;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207107D007030;Saison balnéaire;09/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207110D007220;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207114D007602;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207115D007235;Saison balnéaire;01/07/2021;31/08/2021;
2021;Auvergne-Rhône-Alpes;007;FRK2207115D007236;Interdiction sanitaire;07/06/2021;31/12/2021;"Site classé """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""insuffisant"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" durant 5 années consécutives."
2021;Auvergne-Rhône-Alpes;007;FRK2207115D007236;Saison balnéaire;01/07/2021;31/08/2021;
