Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Type d'événement;Date de début;Date de fin;Mesures de gestion
2022;Auvergne-Rhône-Alpes;001;FRK2101010D001530;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101053D001570;Saison balnéaire;14/05/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101058D001580;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101087D001600;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101099D001150;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101099D001605;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101123D001607;Saison balnéaire;14/05/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101133D001311;Saison balnéaire;04/06/2022;11/09/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101143D001620;Saison balnéaire;13/06/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101184D001110;Saison balnéaire;10/06/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101204D001631;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101229D001650;Saison balnéaire;04/06/2022;11/09/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101239D001320;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001660;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101269D001661;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101302D001670;Saison balnéaire;10/06/2022;09/09/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101304D001130;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101305D001210;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101314D001140;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101378D001180;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101403D001328;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101407D001685;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101426D001690;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101452D001700;Interdiction sanitaire;21/07/2022;25/07/2022;Présence d'Escherichia coli en quantité supérieure à la limite de qualité.
2022;Auvergne-Rhône-Alpes;001;FRK2101452D001700;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;001;FRK2101452D001700;Pollution à court terme;19/07/2022;22/07/2022;Interdiction de baignade par arrêté municipal
2022;Auvergne-Rhône-Alpes;003;FRK1103190D003036;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;003;FRK1103207D003042;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;003;FRK1103207D003042;Interdiction non sanitaire;18/07/2022;31/08/2022;Absence de surveillance
2022;Auvergne-Rhône-Alpes;003;FRK1103221D003050;Interdiction sanitaire;20/07/2022;10/08/2022;Présence de cyanobactéries toxinogènes et de toxines (microcystine)
2022;Auvergne-Rhône-Alpes;003;FRK1103221D003050;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;003;FRK1103221D003050;Prolifération de cyanobactéries;20/07/2022;10/08/2022;Prolifération de cyanobactéries toxigènes et de microcystines.
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Interdiction sanitaire;10/07/2022;11/07/2022;Dysfonctionnement de la step de St-Yorre en amont de la baignade. En attente de résultats d'autosurveillance conformes pour réouvrir la baignade.
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Interdiction sanitaire;25/07/2022;25/07/2022;Problèmes techniques à la station d'épuration de Saint Yorre
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Interdiction sanitaire;17/08/2022;23/08/2022;En raison des fortes pluies du 16 août, la baignade a été fermée préventivement (drapeau rouge). les autocontrôles ont confirmé la non-conformité de la qualité.
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Interdiction sanitaire;02/09/2022;06/09/2022;Résultats de l'eau de baignade prélevée le 31/08/2022 non conforme aux normes bactériologiques.
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Saison balnéaire;01/07/2022;25/09/2022;
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Pollution à court terme;10/07/2022;11/07/2022;Dysfonctionnement de la step de St-Yorre en amont de la baignade. En attente de résultats d'autosurveillance conformes pour réouvrir la baignade.
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Pollution à court terme;25/07/2022;25/07/2022;Problèmes techniques à la station d'épuration de Saint Yorre
2022;Auvergne-Rhône-Alpes;003;FRK1103312D003090;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207011D007355;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207012D007560;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207023D007085;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007275;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007275;Prolifération de cyanobactéries;08/08/2022;31/08/2022;Des flocs de cyanobactéries benthiques sont susceptibles de s'accumuler dans les zones d'eau stagnante.  Une vigilance s'impose vis-à-vis des chiens et jeunes enfants. Consultez l'affichage sur site.
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007280;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007280;Prolifération de cyanobactéries;08/08/2022;28/08/2022;Des flocs de cyanobactéries benthiques sont susceptibles de s'accumuler dans les zones d'eau stagnante.  Une vigilance s'impose vis-à-vis des chiens et jeunes enfants. Consultez l'affichage sur site.
2022;Auvergne-Rhône-Alpes;007;FRK2207050D007260;Interdiction sanitaire;17/08/2022;22/08/2022;Autocontrôle bactério mauvais
2022;Auvergne-Rhône-Alpes;007;FRK2207050D007260;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207050D007260;Prolifération de cyanobactéries;08/08/2022;16/08/2022;Des flocs de cyanobactéries benthiques sont susceptibles de s'accumuler dans les zones d'eau stagnante.  Une vigilance s'impose vis-à-vis des chiens et jeunes enfants. Consultez l'affichage sur site.
2022;Auvergne-Rhône-Alpes;007;FRK2207058D007456;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207061D007092;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207064D007432;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207064D007432;Interdiction non sanitaire;01/07/2022;31/08/2022;Absence d'autorisation de mise en place du barrage temporaire sur la rivière en 2022, et donc pas de baignade possible.
2022;Auvergne-Rhône-Alpes;007;FRK2207071D007910;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207079D007605;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207080D007405;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207082D007505;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207096D007540;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207107D007030;Interdiction sanitaire;18/08/2022;20/08/2022;Suite aux pluies intenses
2022;Auvergne-Rhône-Alpes;007;FRK2207107D007030;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207110D007220;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207114D007602;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207115D007235;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207115D007236;Interdiction sanitaire;01/07/2022;31/12/2022;"Site classé """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""insuffisant"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" durant 5 années consécutives."
2022;Auvergne-Rhône-Alpes;007;FRK2207115D007236;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207119D007905;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207123D007501;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207126D007330;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207127D007028;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207129D007610;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207146D007755;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207167D007445;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207189D007001;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207192D007601;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207199D007004;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207201D007100;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207201D007123;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207237D007455;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207247D007791;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207259D007180;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207262D007001;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207267D007545;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207268D007170;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207268D007175;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207269D007502;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207304D007851;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207306D007789;Interdiction sanitaire;17/08/2022;22/08/2022;Risque de dégradation de la qualité de l'eau lié aux intempéries
2022;Auvergne-Rhône-Alpes;007;FRK2207306D007789;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207306D007789;Interdiction non sanitaire;24/06/2022;05/07/2022;Conditions hydrométéorologiques, manque de transparence
2022;Auvergne-Rhône-Alpes;007;FRK2207315D007342;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207322D007010;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207330D007145;Interdiction sanitaire;17/08/2022;18/08/2022;Conditions météo
2022;Auvergne-Rhône-Alpes;007;FRK2207330D007145;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207330D007150;Interdiction sanitaire;11/08/2022;12/08/2022;Les dernières analyses d'auto-surveillance réalisées par la collectivité ont mis en évidence une dégradation de la qualité bactériologique de l'eau.
2022;Auvergne-Rhône-Alpes;007;FRK2207330D007150;Interdiction sanitaire;17/08/2022;18/08/2022;Conditions météo
2022;Auvergne-Rhône-Alpes;007;FRK2207330D007150;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207330D007151;Interdiction sanitaire;11/08/2022;12/08/2022;Les dernières analyses d'auto-surveillance réalisées par la collectivité ont mis en évidence une dégradation de la qualité bactériologique de l'eau.
2022;Auvergne-Rhône-Alpes;007;FRK2207330D007151;Interdiction sanitaire;17/08/2022;18/08/2022;Conditions météo
2022;Auvergne-Rhône-Alpes;007;FRK2207330D007151;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207334D007272;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207334D007272;Prolifération de cyanobactéries;08/08/2022;28/08/2022;Des flocs de cyanobactéries benthiques sont susceptibles de s'accumuler dans les zones d'eau stagnante.  Une vigilance s'impose vis-à-vis des chiens et jeunes enfants. Consultez l'affichage sur site.
2022;Auvergne-Rhône-Alpes;007;FRK2207338D007915;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;007;FRK2207348D007070;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215011D015165;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215027D015130;Interdiction sanitaire;26/07/2022;31/08/2022;Présence importante de toxines émises par les cyanobactéries. Interdiction de la baignade et des activités nautiques. Recommandation de ne pas consommer les poissons pêchés.
2022;Auvergne-Rhône-Alpes;015;FRK1215027D015130;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215027D015130;Prolifération de cyanobactéries;20/07/2022;31/08/2022;Interdiction baignade et activités nautiques, recommandation de na pas consommer le poisson péché (dépassement microcystine).
2022;Auvergne-Rhône-Alpes;015;FRK1215073D015170;Interdiction sanitaire;30/07/2022;08/08/2022;Interdiction de la baignade et des activités nautiques en raison de la présence importante de toxines émises par les cyanobactéries (Anatoxine A totale). Il est également recommandé de ne pas consommer les poissons pêchés
2022;Auvergne-Rhône-Alpes;015;FRK1215073D015170;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215073D015170;Prolifération de cyanobactéries;27/07/2022;01/08/2022;Interdiction baignade et activités nautiques, recommandation de na pas consommer le poisson péché (dépassement anatoxine A).
2022;Auvergne-Rhône-Alpes;015;FRK1215088D015070;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215092D015010;Interdiction sanitaire;26/08/2022;29/09/2022;Présence importante de toxines émises par les cyanobactéries. Interdiction de la baignade et des activités nautiques. Recommandation de ne pas consommer les poissons pêchés.
2022;Auvergne-Rhône-Alpes;015;FRK1215092D015010;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215092D015010;Prolifération de cyanobactéries;22/08/2022;29/08/2022;Interdiction baignade et activités nautiques, recommandation de na pas consommer le poisson péché (dépassement microcystine).
2022;Auvergne-Rhône-Alpes;015;FRK1215092D015015;Interdiction sanitaire;26/08/2022;29/09/2022;Présence importante de toxines émises par les cyanobactéries. Interdiction de la baignade et des activités nautiques. Recommandation de ne pas consommer les poissons pêchés.
2022;Auvergne-Rhône-Alpes;015;FRK1215092D015015;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215092D015015;Prolifération de cyanobactéries;22/08/2022;29/08/2022;Interdiction baignade et activités nautiques, recommandation de na pas consommer le poisson péché (dépassement microcystine).
2022;Auvergne-Rhône-Alpes;015;FRK1215124D015030;Interdiction sanitaire;24/06/2022;07/07/2022;Présence importante de toxines émises par les cyanobactéries. Interdiction de la baignade et des activités nautiques. Recommandation de ne pas consommer les poissons pêchés.
2022;Auvergne-Rhône-Alpes;015;FRK1215124D015030;Interdiction sanitaire;15/07/2022;31/08/2022;Présence importante de toxines émises par les cyanobactéries. Interdiction de la baignade et des activités nautiques. Recommandation de ne pas consommer les poissons pêchés.
2022;Auvergne-Rhône-Alpes;015;FRK1215124D015030;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215124D015030;Prolifération de cyanobactéries;17/06/2022;04/07/2022;Interdiction baignade et activités nautiques, recommandation de na pas consommer le poisson péché (dépassement anatoxine A).
2022;Auvergne-Rhône-Alpes;015;FRK1215124D015030;Prolifération de cyanobactéries;12/07/2022;31/08/2022;Interdiction baignade et activités nautiques, recommandation de na pas consommer le poisson péché (dépassement anatoxine A et microcystine).
2022;Auvergne-Rhône-Alpes;015;FRK1215153D015050;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215189D015080;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215189D015085;Interdiction sanitaire;19/08/2022;22/08/2022;Eau non conforme aux normes bactériologiques pour la baignade (dépassement du seuil sanitaire en Entérocoques intestinaux) LA BAIGNADE EST INTERDITE JUSQU'A L'AMELIORATION DE LA QUALITE DE L'EAU
2022;Auvergne-Rhône-Alpes;015;FRK1215189D015085;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215240D015020;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215243D015240;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215260D015110;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;015;FRK1215260D015111;Interdiction sanitaire;22/07/2022;25/07/2022;La baignade est interdite en raison d'un dépassement du seuil d'Entérocoques.
2022;Auvergne-Rhône-Alpes;015;FRK1215260D015111;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326035D026370;Interdiction sanitaire;25/07/2022;18/08/2022;Présence d'Entérocoques au-delà de la limite réglementaire.
2022;Auvergne-Rhône-Alpes;026;FRK2326035D026370;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326037D026940;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326063D026715;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326086D026960;Saison balnéaire;01/06/2022;18/09/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326113D026217;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326113D026219;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326113D026268;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326167D026210;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326183D026255;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326192D026520;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326198D026970;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326215D026900;Saison balnéaire;13/06/2022;11/09/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326235D026920;Saison balnéaire;18/06/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326289D026240;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326289D026245;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326295D026990;Saison balnéaire;24/06/2022;01/09/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326296D026347;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326299D026267;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326301D026910;Saison balnéaire;01/06/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326301D026915;Saison balnéaire;01/06/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326344D026415;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;026;FRK2326368D026230;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438006D038300;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438082D038001;Saison balnéaire;15/06/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438106D038031;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438128D038111;Saison balnéaire;09/07/2022;28/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438203D038030;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438231D038400;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438231D038400;Interdiction non sanitaire;01/07/2022;31/08/2022;Etude en cours afin de réaménager le site pour réouverture ultérieure
2022;Auvergne-Rhône-Alpes;038;FRK2438256D038005;Saison balnéaire;04/06/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438292D038002;Saison balnéaire;18/06/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438292D038003;Saison balnéaire;04/06/2022;04/09/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438304D038004;Interdiction sanitaire;22/08/2022;25/08/2022;Pollution entérocoques et E. Coli. Orages et ruissellements quelques jours avant le contrôle sanitaire.
2022;Auvergne-Rhône-Alpes;038;FRK2438304D038004;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438314D038240;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438343D038080;Saison balnéaire;01/06/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438347D038090;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438449D038120;Saison balnéaire;02/07/2022;28/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438453D038270;Saison balnéaire;02/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438462D038040;Interdiction sanitaire;22/08/2022;25/08/2022;Interdiction par arrêté municipal. Pollution entérocoques.  Orages et ruissellements quelques jours avant le contrôle sanitaire.
2022;Auvergne-Rhône-Alpes;038;FRK2438462D038040;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438503D038060;Saison balnéaire;01/06/2022;28/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438518D038160;Saison balnéaire;01/07/2022;31/08/2022;
2022;Auvergne-Rhône-Alpes;038;FRK2438532D038170;Saison balnéaire;01/07/2022;31/08/2022;
