Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Date de prélèvement;"Résultat ""entérocoques intestinaux""";"Résultat ""Escherichia coli""";Statut du prélèvement;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101010D001530;13/06/2023;15;15;Prélèvement de pré-saison;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101010D001530;04/07/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101010D001530;17/07/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101010D001530;02/08/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101010D001530;16/08/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101053D001570;28/04/2023;15;30;Prélèvement de pré-saison;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101053D001570;23/05/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101053D001570;14/06/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101053D001570;05/07/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101053D001570;24/07/2023;309;127;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101053D001570;14/08/2023;77;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101058D001580;13/06/2023;15;15;Prélèvement de pré-saison;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101058D001580;04/07/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101058D001580;17/07/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101058D001580;02/08/2023;15;30;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101058D001580;16/08/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101087D001600;13/06/2023;15;15;Prélèvement de pré-saison;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101087D001600;04/07/2023;15;61;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101087D001600;18/07/2023;61;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101087D001600;01/08/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101087D001600;16/08/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001150;12/06/2023;46;393;Prélèvement de pré-saison;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001150;03/07/2023;15;77;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001150;17/07/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001150;02/08/2023;15;30;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001150;17/08/2023;15;30;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001605;12/06/2023;15;15;Prélèvement de pré-saison;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001605;03/07/2023;15;30;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001605;17/07/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001605;02/08/2023;127;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001605;17/08/2023;61;30;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101123D001607;27/04/2023;15;15;Prélèvement de pré-saison;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101123D001607;22/05/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101123D001607;12/06/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101123D001607;03/07/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101123D001607;18/07/2023;15;30;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101123D001607;03/08/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101123D001607;17/08/2023;15;15;;;;
2023;Auvergne-Rhône-Alpes;001;FRK2101133D001311;29/05/2023;15;15;Prélèvement de pré-saison;;;
